Handle,Start,End
ilhanmn,11/1/18,Present
jenniferwexton,11/1/18,Present
katiehill4ca,11/1/18,Present
ayannapressley,11/1/18,Present
chiproytx,11/1/18,Present
bensasse,11/1/18,Present
spanbergerva07,11/1/18,Present
debbielesko,11/1/18,Present
joeneguse,11/1/18,Present
deb4congressnm,11/1/18,Present
billcassidy,11/1/18,Present
marygayscanlon,11/1/18,Present
debbieforfl,11/1/18,Present
vgescobar,11/1/18,Present
tinasmithmn,11/1/18,Present
benraylujan,11/1/18,Present
jimmygomezca,11/1/18,Present
joniernst,11/1/18,Present
jasonsmithmo,11/1/18,Present
mattgaetz,11/1/18,Present
perduesenate,11/1/18,Present
elisestefanik,11/1/18,Present
tulsigabbard,11/1/18,Present
grace4ny,11/1/18,Present
rubengallego,11/1/18,Present
cheribustos,11/1/18,Present
tedlieu,11/1/18,Present
jenniffer2012,11/1/18,Present
markpocan,11/1/18,Present
duffy4wisconsin,11/1/18,Present
timryan,11/1/18,Present
auctnr1,11/1/18,Present
teddeutch,11/1/18,Present
tomcottonar,11/1/18,Present
drpaulgosar,11/1/18,Present
jeffmerkley,11/1/18,Present
scottpeterssd,11/1/18,Present
carolynbmaloney,11/1/18,Present
tedcruz,11/1/18,Present
ericswalwell,11/1/18,Present
kyrstensinema,11/1/18,Present
dickdurbin,11/1/18,Present
bradleybyrne,11/1/18,Present
pramilajayapal,11/1/18,Present
reprokhanna,11/1/18,Present
congboyle,11/1/18,Present
reppeteaguilar,11/1/18,Present
repdwstweets,11/1/18,Present
rokhanna,11/1/18,Present
lindseygrahamsc,11/1/18,Present
repbrendanboyle,11/1/18,Present
repdinatitus,11/1/18,Present
dwstweets,11/1/18,Present
aguilarpete,11/1/18,Present
dinatitus,11/1/18,Present
grahamblog,11/1/18,Present
lancegooden,11/1/18,Present
